2025-04-29 13:12:07,062 - INFO - Starting district offices migration
2025-04-29 13:12:07,064 - INFO - Creating district_offices table...
2025-04-29 13:12:07,069 - INFO - Created new district_offices table
2025-04-29 13:12:07,069 - INFO - Loading YAML file: backups/migrated_data_files/legislators-district-offices.yaml
2025-04-29 13:12:08,712 - INFO - Found 534 records in the district offices YAML file
2025-04-29 13:12:08,714 - INFO - Added office for Robert B. Aderholt in Cullman, AL
2025-04-29 13:12:08,714 - INFO - Added office for Robert B. Aderholt in Jasper, AL
2025-04-29 13:12:08,714 - INFO - Added office for Robert B. Aderholt in Tuscumbia, AL
2025-04-29 13:12:08,715 - INFO - Added office for Jake Auchincloss in Newton, MA
2025-04-29 13:12:08,715 - INFO - Added office for Jake Auchincloss in Attleboro, MA
2025-04-29 13:12:08,715 - INFO - Added office for Jake Auchincloss in Fall River, MA
2025-04-29 13:12:08,716 - INFO - Added office for Mark E. Amodei in Reno, NV
2025-04-29 13:12:08,716 - INFO - Added office for Mark E. Amodei in Elko, NV
2025-04-29 13:12:08,716 - INFO - Added office for Alma S. Adams in Charlotte, NC
2025-04-29 13:12:08,717 - INFO - Added office for Pete Aguilar in San Bernardino, CA
2025-04-29 13:12:08,717 - INFO - Added office for Rick W. Allen in Dublin, GA
2025-04-29 13:12:08,717 - INFO - Added office for Rick W. Allen in Statesboro, GA
2025-04-29 13:12:08,718 - INFO - Added office for Rick W. Allen in Vidalia, GA
2025-04-29 13:12:08,718 - INFO - Added office for Rick W. Allen in Augusta, GA
2025-04-29 13:12:08,718 - INFO - Added office for Jodey C. Arrington in Abilene, TX
2025-04-29 13:12:08,718 - INFO - Added office for Jodey C. Arrington in Lubbock, TX
2025-04-29 13:12:08,719 - INFO - Added office for Mark Alford in Raymore, MO
2025-04-29 13:12:08,719 - INFO - Added office for Mark Alford in Columbia, MO
2025-04-29 13:12:08,719 - INFO - Added office for Mark Alford in Lebanon, MO
2025-04-29 13:12:08,720 - INFO - Added office for Gabe Amo in Pawtucket, RI
2025-04-29 13:12:08,720 - INFO - Added office for Sanford D. Bishop, Jr. in Albany, GA
2025-04-29 13:12:08,720 - INFO - Added office for Sanford D. Bishop, Jr. in Columbus, GA
2025-04-29 13:12:08,721 - INFO - Added office for Sanford D. Bishop, Jr. in Macon, GA
2025-04-29 13:12:08,721 - INFO - Added office for Cliff Bentz in Medford, OR
2025-04-29 13:12:08,721 - INFO - Added office for Cliff Bentz in Ontario, OR
2025-04-29 13:12:08,721 - INFO - Added office for Stephanie I. Bice in Oklahoma City, OK
2025-04-29 13:12:08,722 - INFO - Added office for Lauren Boebert in Castle Rock, CO
2025-04-29 13:12:08,722 - INFO - Added office for Lauren Boebert in Eaton, CO
2025-04-29 13:12:08,723 - INFO - Added office for Tammy Baldwin in Eau Claire, WI
