2025-04-29 12:16:33,812 - INFO - Starting social media migration
2025-04-29 12:16:33,813 - INFO - Loading YAML file: backups/migrated_data_files/legislators-social-media.yaml
2025-04-29 12:16:34,431 - ERROR - No social media data found in the YAML file
2025-04-29 12:16:34,432 - INFO - Social media migration completed
2025-04-29 12:16:34,433 - INFO - Script exiting, no input required.
2025-04-29 12:17:54,285 - INFO - Starting social media migration
2025-04-29 12:17:54,286 - INFO - Loading YAML file: backups/migrated_data_files/legislators-social-media.yaml
2025-04-29 12:17:54,782 - INFO - Found 529 social media records in the YAML file
2025-04-29 12:17:54,785 - INFO - Twitter already set for Aumua Amata Coleman Radewagen: RepAmata, skipping
2025-04-29 12:17:54,785 - INFO - Twitter already set for Todd Young: SenToddYoung, skipping
2025-04-29 12:17:54,786 - INFO - Twitter already set for Joni Ernst: SenJoniErnst, skipping
2025-04-29 12:17:54,786 - INFO - Twitter already set for Thom Tillis: SenThomTillis, skipping
2025-04-29 12:17:54,787 - INFO - Twitter already set for Steve Womack: Rep_SteveWomack, skipping
2025-04-29 12:17:54,787 - INFO - Twitter already set for Frederica S. Wilson: RepWilson, skipping
2025-04-29 12:17:54,788 - INFO - Twitter already set for Daniel Webster: RepWebster, skipping
2025-04-29 12:17:54,788 - INFO - Twitter already set for Mark R. Warner: MarkWarner, skipping
2025-04-29 12:17:54,789 - INFO - Twitter already set for Robert J. Wittman: RobWittman, skipping
2025-04-29 12:17:54,790 - INFO - Twitter already set for Sheldon Whitehouse: SenWhitehouse, skipping
2025-04-29 12:17:54,790 - INFO - Twitter already set for Peter Welch: PeterWelch, skipping
2025-04-29 12:17:54,791 - INFO - Twitter already set for Tim Walberg: RepWalberg, skipping
2025-04-29 12:17:54,791 - INFO - Twitter already set for Debbie Wasserman Schultz: RepDWStweets, skipping
2025-04-29 12:17:54,792 - INFO - Twitter already set for Joe Wilson: RepJoeWilson, skipping
2025-04-29 12:17:54,792 - INFO - Twitter already set for Ron Wyden: RonWyden, skipping
2025-04-29 12:17:54,793 - INFO - Twitter already set for Roger F. Wicker: SenatorWicker, skipping
2025-04-29 12:17:54,793 - INFO - Twitter already set for Maxine Waters: RepMaxineWaters, skipping
2025-04-29 12:17:54,794 - INFO - Twitter already set for Chris Van Hollen: ChrisVanHollen, skipping
2025-04-29 12:17:54,794 - INFO - Twitter already set for Nydia M. Velázquez: NydiaVelazquez, skipping
2025-04-29 12:17:54,795 - INFO - Twitter already set for Paul Tonko: RepPaulTonko, skipping
2025-04-29 12:17:54,795 - INFO - Twitter already set for Dina Titus: RepDinaTitus, skipping
2025-04-29 12:17:54,796 - INFO - Twitter already set for Glenn Thompson: CongressmanGT, skipping
2025-04-29 12:17:54,796 - INFO - Twitter already set for Michael R. Turner: RepMikeTurner, skipping
2025-04-29 12:17:54,797 - INFO - Twitter already set for Mike Thompson: RepThompson, skipping
2025-04-29 12:17:54,797 - INFO - Twitter already set for John Thune: SenJohnThune, skipping
2025-04-29 12:17:54,800 - INFO - Twitter already set for Bennie G. Thompson: BennieGThompson, skipping
2025-04-29 12:17:54,801 - INFO - Twitter already set for Austin Scott: AustinScottGA08, skipping
2025-04-29 12:17:54,802 - INFO - Twitter already set for Terri A. Sewell: RepTerriSewell, skipping
2025-04-29 12:17:54,802 - INFO - Twitter already set for Tim Scott: SenatorTimScott, skipping
2025-04-29 12:17:54,803 - INFO - Twitter already set for David Schweikert: RepDavid, skipping
2025-04-29 12:17:54,804 - INFO - Twitter already set for Jeanne Shaheen: SenatorShaheen, skipping
2025-04-29 12:17:54,804 - INFO - Twitter already set for Steve Scalise: SteveScalise, skipping
2025-04-29 12:17:54,805 - INFO - Twitter already set for Adrian Smith: RepAdrianSmith, skipping
2025-04-29 12:17:54,806 - INFO - Twitter already set for David Scott: RepDavidScott, skipping
2025-04-29 12:17:54,806 - INFO - Twitter already set for Linda T. Sánchez: RepLindaSanchez, skipping
2025-04-29 12:17:54,807 - INFO - Twitter already set for Michael K. Simpson: CongMikeSimpson, skipping
2025-04-29 12:17:54,808 - INFO - Twitter already set for Janice D. Schakowsky: JanSchakowsky, skipping
2025-04-29 12:17:54,808 - INFO - Twitter already set for Rick Scott: SenRickScott, skipping
2025-04-29 12:17:54,809 - INFO - Twitter already set for Adam Smith: RepAdamSmith, skipping
2025-04-29 12:17:54,810 - INFO - Twitter already set for Brad Sherman: BradSherman, skipping
2025-04-29 12:17:54,810 - INFO - Twitter already set for Robert C. "Bobby" Scott: BobbyScott, skipping
2025-04-29 12:17:54,811 - INFO - Twitter already set for Charles E. Schumer: SenSchumer, skipping
2025-04-29 12:17:54,812 - INFO - Twitter already set for Bernard Sanders: SenSanders, skipping
2025-04-29 12:17:54,813 - INFO - Twitter already set for Mike Rogers: RepMikeRogersAL, skipping
2025-04-29 12:17:54,813 - INFO - Twitter already set for Harold Rogers: RepHalRogers, skipping
2025-04-29 12:17:54,814 - INFO - Twitter already set for Jack Reed: SenJackReed, skipping
2025-04-29 12:17:54,817 - INFO - Twitter already set for Mike Quigley: RepMikeQuigley, skipping
2025-04-29 12:17:54,818 - INFO - Twitter already set for Rand Paul: SenRandPaul, skipping
2025-04-29 12:17:54,818 - INFO - Twitter already set for Chellie Pingree: ChelliePingree, skipping
2025-04-29 12:17:54,819 - INFO - Twitter already set for Gary C. Peters: SenGaryPeters, skipping
2025-04-29 12:17:54,820 - INFO - Twitter already set for Nancy Pelosi: SpeakerPelosi, skipping
2025-04-29 12:17:54,820 - INFO - Twitter already set for Frank Pallone, Jr.: FrankPallone, skipping
2025-04-29 12:17:54,821 - INFO - Twitter already set for Eleanor Holmes Norton: EleanorNorton, skipping
2025-04-29 12:17:54,821 - INFO - Twitter already set for Richard E. Neal: RepRichardNeal, skipping
2025-04-29 12:17:54,822 - INFO - Twitter already set for Jerrold Nadler: RepJerryNadler, skipping
2025-04-29 12:17:54,823 - INFO - Twitter already set for Tom McClintock: RepMcClintock, skipping
2025-04-29 12:17:54,823 - INFO - Twitter already set for Jeff Merkley: SenJeffMerkley, skipping
2025-04-29 12:17:54,824 - INFO - Twitter already set for Doris O. Matsui: DorisMatsui, skipping
2025-04-29 12:17:54,825 - INFO - Twitter already set for Gwen Moore: RepGwenMoore, skipping
2025-04-29 12:17:54,825 - INFO - Twitter already set for Michael T. McCaul: RepMcCaul, skipping
2025-04-29 12:17:54,826 - INFO - Twitter already set for Lisa Murkowski: LisaMurkowski, skipping
2025-04-29 12:17:54,826 - INFO - Twitter already set for Betty McCollum: BettyMcCollum04, skipping
2025-04-29 12:17:54,827 - INFO - Twitter already set for Gregory W. Meeks: RepGregoryMeeks, skipping
2025-04-29 12:17:54,827 - INFO - Twitter already set for Patty Murray: PattyMurray, skipping
2025-04-29 12:17:54,828 - INFO - Twitter already set for Jerry Moran: JerryMoran, skipping
2025-04-29 12:17:54,828 - INFO - Twitter already set for Mitch McConnell: McConnellPress, skipping
2025-04-29 12:17:54,828 - INFO - Twitter already set for James P. McGovern: RepMcGovern, skipping
2025-04-29 12:17:54,829 - INFO - Twitter already set for Edward J. Markey: SenMarkey, skipping
2025-04-29 12:17:54,829 - INFO - Twitter already set for Mike Lee: SenMikeLee, skipping
2025-04-29 12:17:54,829 - INFO - Twitter already set for James Lankford: SenatorLankford, skipping
2025-04-29 12:17:54,829 - INFO - Twitter already set for Ben Ray Luján: SenatorLujan, skipping
2025-04-29 12:17:54,830 - INFO - Twitter already set for Robert E. Latta: BobLatta, skipping
2025-04-29 12:17:54,830 - INFO - Twitter already set for Stephen F. Lynch: RepStephenLynch, skipping
2025-04-29 12:17:54,831 - INFO - Twitter already set for Rick Larsen: RepRickLarsen, skipping
2025-04-29 12:17:54,833 - INFO - Twitter already set for John B. Larson: RepJohnLarson, skipping
2025-04-29 12:17:54,834 - INFO - Twitter already set for Frank D. Lucas: RepFrankLucas, skipping
2025-04-29 12:17:54,834 - INFO - Twitter already set for Zoe Lofgren: RepZoeLofgren, skipping
2025-04-29 12:17:54,835 - INFO - Twitter already set for Mike Kelly: MikeKellyPA, skipping
2025-04-29 12:17:54,835 - INFO - Twitter already set for William R. Keating: USRepKeating, skipping
2025-04-29 12:17:54,836 - INFO - Twitter already set for Marcy Kaptur: RepMarcyKaptur, skipping
2025-04-29 12:17:54,836 - INFO - Twitter already set for Ron Johnson: SenRonJohnson, skipping
2025-04-29 12:17:54,837 - INFO - Twitter already set for Jim Jordan: Jim_Jordan, skipping
2025-04-29 12:17:54,837 - INFO - Twitter already set for Henry C. "Hank" Johnson, Jr.: RepHankJohnson, skipping
2025-04-29 12:17:54,838 - INFO - Twitter already set for John Hoeven: SenJohnHoeven, skipping
2025-04-29 12:17:54,838 - INFO - Twitter already set for Bill Huizenga: RepHuizenga, skipping
2025-04-29 12:17:54,839 - INFO - Twitter already set for James A. Himes: jahimes, skipping
2025-04-29 12:17:54,839 - INFO - Twitter already set for Martin Heinrich: MartinHeinrich, skipping
2025-04-29 12:17:54,840 - INFO - Twitter already set for Mazie K. Hirono: MazieHirono, skipping
2025-04-29 12:17:54,840 - INFO - Twitter already set for Steny H. Hoyer: RepStenyHoyer, skipping
2025-04-29 12:17:54,841 - INFO - Twitter already set for H. Morgan Griffith: RepMGriffith, skipping
2025-04-29 12:17:54,842 - INFO - Twitter already set for Paul A. Gosar: RepGosar, skipping
2025-04-29 12:17:54,842 - INFO - Twitter already set for John Garamendi: RepGaramendi, skipping
2025-04-29 12:17:54,843 - INFO - Twitter already set for Al Green: RepAlGreen, skipping
2025-04-29 12:17:54,844 - INFO - Twitter already set for Chuck Grassley: ChuckGrassley, skipping
2025-04-29 12:17:54,844 - INFO - Twitter already set for Lindsey Graham: GrahamBlog, skipping
2025-04-29 12:17:54,845 - INFO - Twitter already set for Charles J. "Chuck" Fleischmann: RepChuck, skipping
2025-04-29 12:17:54,846 - INFO - Twitter already set for Virginia Foxx: VirginiaFoxx, skipping
2025-04-29 12:17:54,846 - INFO - Twitter already set for Scott DesJarlais: DesJarlaisTN04, skipping
2025-04-29 12:17:54,847 - INFO - Twitter already set for Mario Diaz-Balart: MarioDB, skipping
2025-04-29 12:17:54,847 - INFO - Twitter already set for Richard J. Durbin: SenatorDurbin, skipping
2025-04-29 12:17:54,848 - INFO - Twitter already set for Lloyd Doggett: RepLloydDoggett, skipping
2025-04-29 12:17:54,849 - INFO - Twitter already set for Rosa L. DeLauro: RosaDeLauro, skipping
2025-04-29 12:17:54,849 - INFO - Twitter already set for Diana DeGette: RepDianaDeGette, skipping
2025-04-29 12:17:54,850 - INFO - Twitter already set for Christopher A. Coons: ChrisCoons, skipping
2025-04-29 12:17:54,851 - INFO - Twitter already set for Eric A. "Rick" Crawford: RepRickCrawford, skipping
2025-04-29 12:17:54,851 - INFO - Twitter already set for Judy Chu: RepJudyChu, skipping
2025-04-29 12:17:54,853 - INFO - Twitter already set for Gerald E. Connolly: GerryConnolly, skipping
2025-04-29 12:17:54,854 - INFO - Twitter already set for André Carson: RepAndreCarson, skipping
2025-04-29 12:17:54,855 - INFO - Twitter already set for Joe Courtney: RepJoeCourtney, skipping
2025-04-29 12:17:54,856 - INFO - Twitter already set for Steve Cohen: RepCohen, skipping
2025-04-29 12:17:54,856 - INFO - Twitter already set for Yvette D. Clarke: RepYvetteClarke, skipping
2025-04-29 12:17:54,857 - INFO - Twitter already set for Henry Cuellar: RepCuellar, skipping
2025-04-29 12:17:54,858 - INFO - Twitter already set for Emanuel Cleaver: RepCleaver, skipping
2025-04-29 12:17:54,858 - INFO - Twitter already set for Jim Costa: RepJimCosta, skipping
2025-04-29 12:17:54,859 - INFO - Twitter already set for John Cornyn: JohnCornyn, skipping
2025-04-29 12:17:54,860 - INFO - Twitter already set for Tom Cole: TomColeOK04, skipping
2025-04-29 12:17:54,860 - INFO - Twitter already set for John R. Carter: JudgeCarter, skipping
2025-04-29 12:17:54,861 - INFO - Twitter already set for Shelley Moore Capito: SenCapito, skipping
2025-04-29 12:17:54,862 - INFO - Twitter already set for Susan M. Collins: SenatorCollins, skipping
2025-04-29 12:17:54,862 - INFO - Twitter already set for Mike Crapo: MikeCrapo, skipping
2025-04-29 12:17:54,863 - INFO - Twitter already set for James E. Clyburn: RepJamesClyburn, skipping
2025-04-29 12:17:54,864 - INFO - Twitter already set for Maria Cantwell: SenatorCantwell, skipping
2025-04-29 12:17:54,865 - INFO - Twitter already set for Ken Calvert: KenCalvert, skipping
2025-04-29 12:17:54,867 - INFO - Twitter already set for Richard Blumenthal: SenBlumenthal, skipping
